method,discover_question_id,scoring_day_et,subset,n_individuals,aggregate_brier,median_individual_brier,mean_individual_brier,aggregate_percentile_rank
geometric_mean_of_odds,347,2018-06-07,binary only,44,0.2862169912562148,0.30602794,0.4666056077272728,0.5227272727272727
median,237,2018-04-15,multi-option nominal only,3,0.41628488129945856,0.4358000000000001,0.40186666666666676,0.6666666666666666
geometric_mean_of_odds,290,2018-07-21,ordinal only,22,0.021478916668559733,0.04577499999999998,0.06884211386363635,0.6818181818181818
median,198,2018-03-21,binary only,14,0.1152,0.11539999999999999,0.17826081285714282,0.5
geometric_mean_of_odds,346,2018-08-12,binary only,11,0.00012174905740649682,0.0050000000000000044,0.014007905454545456,0.8181818181818182
geometric_mean_of_odds,239,2018-05-15,ordinal only,11,0.8443652904493038,0.6800000000000002,0.6547793027272728,0.2727272727272727
median,194,2018-04-03,ordinal only,12,0.08445355505879211,0.09167499999999998,0.09363382625000001,0.5
geometric_mean_of_odds,279,2018-04-29,ordinal only,10,0.03727796668211949,0.09515977749999999,0.1002184455,0.9
geometric_mean_of_odds,309,2018-05-15,binary only,30,0.14014135384634893,0.23566225000000002,0.28133602399999996,0.6666666666666666
geometric_mean_of_odds,344,2018-06-02,ordinal only,18,0.00955151013580702,0.13174999999999998,0.20850685611111108,0.9444444444444444
median,382,2018-08-05,binary only,21,0.04500000000000001,0.04500000000000001,0.2391688361904762,0.47619047619047616
geometric_mean_of_odds,241,2018-05-20,binary only,20,0.025539390554630472,0.019999999999999997,0.17293160000000002,0.4
geometric_mean_of_odds,230,2018-08-30,multi-option nominal only,47,1.4985757075997537,0.9799999999999999,1.010259664468085,0.1702127659574468
median,232,2018-08-10,binary only,12,0.011249999999999996,0.011300000000000001,0.15891670833333335,0.5
median,215,2018-05-08,binary only,3,0.13005,0.13005,0.24354627333333337,0.3333333333333333
median,268,2018-05-17,binary only,24,0.41678450000000006,0.416809,0.45132620083333336,0.5
median,240,2018-05-28,ordinal only,3,0.8424999999999999,0.8424999999999999,0.8272242799999999,0.3333333333333333
geometric_mean_of_odds,353,2018-06-21,ordinal only,42,0.07117371564761905,0.29615,0.3526435566666667,0.6190476190476191
median,194,2018-03-25,ordinal only,8,0.025738834151644106,0.056677225000000005,0.12416144875,0.75
geometric_mean_of_odds,275,2018-06-29,binary only,15,1.3652658228713563e-7,0.0002000000000000002,0.011622977333333333,0.5333333333333333
geometric_mean_of_odds,305,2018-05-10,ordinal only,28,0.7848864378020881,0.7775000000000001,0.8430706767857143,0.5
geometric_mean_of_odds,180,2018-06-29,ordinal only,12,0.2851101317632029,0.177425,0.2730458333333333,0.3333333333333333
geometric_mean_of_odds,311,2018-07-22,ordinal only,3,0.698069298243686,0.7678999999999999,0.7618166666666667,0.6666666666666666
geometric_mean_of_odds,194,2018-03-11,ordinal only,22,0.00636791464168674,0.039375,0.07205141477272727,0.8636363636363636
geometric_mean_of_odds,390,2018-08-17,binary only,23,0.06831751037286979,0.125,0.300116472173913,0.782608695652174
geometric_mean_of_odds,320,2018-07-28,ordinal only,8,8.911549748260967e-6,0.0007250000000000001,0.044894093125000006,0.75
geometric_mean_of_odds,221,2018-04-26,ordinal only,5,0.000010774338911751655,0.00005000000000000009,0.02332999999999999,0.8
median,230,2018-05-19,multi-option nominal only,10,1.1465639958816491,1.1824,1.267002754,0.5
geometric_mean_of_odds,306,2018-07-06,binary only,18,0.00006537139329312868,0.024399999999999998,0.3013095444444444,0.6666666666666666
median,349,2018-06-04,binary only,11,0.1152,0.1152,0.47720018181818186,0.45454545454545453
median,327,2018-06-01,binary only,17,0.005408000000000005,0.005408000000000005,0.03638900588235294,0.47058823529411764
geometric_mean_of_odds,327,2018-08-22,binary only,25,0.000013978964678183107,0.0002000000000000002,0.095523472,0.72
geometric_mean_of_odds,368,2018-09-04,binary only,63,3.3059147842956893e-6,0.0002000000000000002,0.12659938380952382,0.5873015873015873
median,188,2018-06-27,ordinal only,61,0.03936422072579814,0.05824999999999999,0.09867395187771279,0.6065573770491803
median,200,2018-08-04,binary only,11,0.011040980000000006,0.011040980000000006,0.1338402709090909,0.45454545454545453
geometric_mean_of_odds,306,2018-05-19,binary only,19,0.17084276760857375,0.3872,0.4405036431578947,0.5789473684210527
median,202,2018-04-25,binary only,5,0.0050000000000000044,0.0050000000000000044,0.006000000000000001,0.2
geometric_mean_of_odds,254,2018-04-24,binary only,11,0.1411860732280269,0.125,0.33090909090909093,0.45454545454545453
median,232,2018-04-18,binary only,7,0.07999999999999999,0.07999999999999999,0.2728571428571428,0.42857142857142855
geometric_mean_of_odds,326,2018-08-13,binary only,16,2.7886482578446546e-7,0.0001250000000000001,0.02111635125,0.5625
geometric_mean_of_odds,286,2018-06-20,multi-option nominal only,14,0.0019309938993481472,0.009999999999999993,0.07538858357142857,0.7857142857142857
geometric_mean_of_odds,288,2018-07-22,binary only,16,0.00002972892660089093,0.0020000000000000035,0.10613840625,0.625
geometric_mean_of_odds,193,2018-03-17,ordinal only,25,0.011317841862237284,0.03340289000000001,0.0994923004,0.76
geometric_mean_of_odds,185,2018-05-27,ordinal only,19,0.012046300979721106,0.0377,0.11396680131578947,0.8421052631578947
median,247,2018-06-01,ordinal only,1,0.0,0.0,0.0,0.0
geometric_mean_of_odds,377,2018-07-29,binary only,14,0.0016248956284588452,0.008899999999999998,0.3592935842857143,0.6428571428571429
geometric_mean_of_odds,201,2018-07-18,binary only,15,0.003573467353554226,0.0288,0.255031228,0.8
geometric_mean_of_odds,234,2018-06-29,binary only,22,0.0006676317542022483,0.0018000000000000017,0.21747310727272726,0.5909090909090909
median,358,2018-06-27,binary only,15,0.003978319999999998,0.003978319999999998,0.09821352133333332,0.4666666666666667
geometric_mean_of_odds,359,2018-07-15,binary only,10,0.00003556031946567462,0.0013000000000000012,0.005940000000000003,0.8
geometric_mean_of_odds,236,2018-04-14,ordinal only,5,0.24027417831581083,0.22820000000000001,0.25390999999999997,0.4
median,262,2018-06-24,ordinal only,9,0.0018836565096952914,0.010000000000000002,0.051073865555555556,0.5555555555555556
median,201,2018-06-01,binary only,16,0.007200000000000007,0.007200000000000007,0.10828631999999999,0.4375
median,340,2018-08-12,ordinal only,19,0.0392464678178964,0.0628,0.15601630763157895,0.5263157894736842
geometric_mean_of_odds,351,2018-06-13,ordinal only,10,0.22326898242013699,0.31155,0.38135564999999993,0.7
median,210,2018-04-10,binary only,4,0.004050000000000003,0.004500000000000004,0.005069920000000005,0.5
median,352,2018-07-21,ordinal only,27,0.0096555900160635,0.01250974,0.05685002037037036,0.7037037037037037
median,350,2018-06-10,binary only,80,0.0004681799999999988,0.0004681999999999988,0.057659980250000006,0.5
geometric_mean_of_odds,254,2018-05-23,binary only,41,0.000013466462175074717,0.0008000000000000008,0.0874122868292683,0.5609756097560976
median,215,2018-05-16,binary only,17,0.24137351999999995,0.24137351999999995,0.5606346611764707,0.47058823529411764
median,232,2018-03-28,binary only,19,0.10579999999999999,0.10579999999999999,0.44087686421052635,0.47368421052631576
geometric_mean_of_odds,358,2018-07-14,binary only,8,5.264976680367237e-6,0.0002000000000000002,0.001243102500000001,0.75
geometric_mean_of_odds,219,2018-04-07,binary only,3,1.1663240900307206,1.2800000000000002,1.1502837933333334,0.6666666666666666
geometric_mean_of_odds,381,2018-07-27,binary only,32,0.025702305267357353,0.06522836000000001,0.230351535,0.75
median,240,2018-05-06,ordinal only,15,0.8568144943212546,0.8833000000000002,0.8513235333333333,0.5333333333333333
geometric_mean_of_odds,188,2018-03-12,ordinal only,24,0.14900360705722754,0.22625,0.25610166208333335,0.7916666666666666
median,382,2018-08-31,binary only,16,1.39979912,1.41846224,1.0858704075,0.5
geometric_mean_of_odds,312,2018-07-29,ordinal only,19,9.78655102422509e-6,0.012500000000000002,0.03883157894736842,0.6842105263157895
median,271,2018-06-11,binary only,15,0.6498000000000002,0.6498000000000002,0.7228933333333334,0.4666666666666667
geometric_mean_of_odds,233,2018-07-27,ordinal only,6,0.002007354943051074,0.075635,0.09147833333333333,0.8333333333333334
median,338,2018-06-20,ordinal only,12,0.29159629985159674,0.293325,0.269941875,0.5
geometric_mean_of_odds,260,2018-06-15,ordinal only,7,1.6816547038707934,0.9255000000000001,1.1828212571428571,0.2857142857142857
geometric_mean_of_odds,220,2018-04-09,ordinal only,2,1.1067885911737962,0.86105,0.86105,0.5
geometric_mean_of_odds,236,2018-04-22,ordinal only,4,0.11737525059690716,0.253975,0.276351625,1.0
median,200,2018-06-01,binary only,8,0.014449999999999992,0.015700000000000006,0.32749729,0.5
median,217,2018-04-09,ordinal only,6,0.030474799123447787,0.08902499999999997,0.09589999999999999,0.6666666666666666
median,263,2018-05-21,binary only,11,0.0002000000000000002,0.0002000000000000002,0.011692045454545457,0.45454545454545453
geometric_mean_of_odds,392,2018-09-05,binary only,163,0.000017077907083144937,0.0008000000000000008,0.04059272613496933,0.6625766871165644
geometric_mean_of_odds,225,2018-05-11,ordinal only,5,0.08663682109183185,0.14219798999999997,0.26052959800000003,0.8
median,316,2018-06-08,ordinal only,13,0.2600801960347516,0.28400000000000003,0.420467311923077,0.5384615384615384
